iter	Passed	Remaining
541	5800	4901
542	5811	4891
543	5822	4880
544	5832	4869
545	5843	4858
546	5853	4847
547	5864	4836
548	5875	4826
549	5885	4815
550	5895	4804
551	5906	4793
552	5917	4782
553	5927	4772
554	5938	4761
555	5950	4751
556	5960	4740
557	5971	4730
558	5982	4719
559	5993	4709
560	6004	4698
561	6015	4688
562	6026	4677
563	6038	4668
564	6049	4657
565	6060	4647
566	6071	4636
567	6084	4627
568	6094	4616
569	6106	4606
570	6118	4596
571	6129	4586
572	6141	4576
573	6152	4566
574	6163	4555
575	6174	4545
576	6185	4534
577	6196	4523
578	6206	4513
579	6217	4502
580	6228	4491
581	6239	4481
582	6249	4470
583	6260	4459
584	6271	4448
585	6282	4438
586	6292	4427
587	6303	4416
588	6314	4406
589	6324	4395
590	6335	4384
591	6346	4373
592	6356	4362
593	6367	4352
594	6379	4342
595	6389	4331
596	6400	4320
597	6411	4309
598	6421	4299
599	6432	4288
600	6442	4277
601	6453	4266
602	6464	4255
603	6474	4244
604	6485	4234
605	6496	4223
606	6507	4213
607	6518	4202
608	6528	4191
609	6539	4180
610	6549	4169
611	6560	4159
612	6570	4148
613	6581	4137
614	6591	4126
615	6602	4115
616	6613	4105
617	6624	4094
618	6635	4083
619	6645	4073
620	6656	4062
621	6666	4051
622	6676	4040
623	6687	4029
624	6698	4018
625	6709	4008
626	6719	3997
627	6730	3986
628	6741	3976
629	6751	3965
630	6762	3954
631	6773	3943
632	6784	3933
633	6794	3922
634	6805	3911
635	6815	3900
636	6826	3890
637	6837	3879
638	6848	3868
639	6859	3858
640	6870	3847
641	6881	3837
642	6891	3826
643	6902	3815
644	6913	3805
645	6924	3794
646	6935	3783
647	6945	3772
648	6956	3762
649	6967	3751
650	6977	3740
651	6988	3730
652	6999	3719
653	7009	3708
654	7019	3697
655	7030	3686
656	7040	3675
657	7051	3665
658	7061	3654
659	7072	3643
660	7083	3632
661	7093	3621
662	7103	3610
663	7113	3599
664	7124	3588
665	7134	3578
666	7145	3567
667	7156	3556
668	7166	3545
669	7177	3535
670	7188	3524
671	7198	3513
672	7210	3503
673	7221	3492
674	7232	3482
675	7242	3471
676	7253	3460
677	7264	3450
678	7275	3439
679	7286	3428
680	7297	3418
681	7308	3407
682	7319	3397
683	7330	3386
684	7340	3375
685	7351	3365
686	7362	3354
687	7372	3343
688	7383	3332
689	7394	3322
690	7404	3311
691	7415	3300
692	7425	3289
693	7436	3278
694	7446	3267
695	7457	3257
696	7468	3246
697	7479	3235
698	7492	3226
699	7503	3215
700	7513	3204
701	7525	3194
702	7536	3183
703	7546	3173
704	7557	3162
705	7568	3151
706	7578	3140
707	7589	3130
708	7600	3119
709	7610	3108
710	7621	3097
711	7632	3087
712	7643	3076
713	7654	3066
714	7665	3055
715	7676	3044
716	7687	3034
717	7698	3023
718	7708	3012
719	7719	3002
720	7730	2991
721	7741	2980
722	7751	2969
723	7762	2959
724	7772	2948
725	7783	2937
726	7793	2926
727	7803	2915
728	7814	2904
729	7825	2894
730	7836	2883
731	7846	2872
732	7857	2862
733	7868	2851
734	7878	2840
735	7889	2829
736	7899	2818
737	7910	2808
738	7920	2797
739	7931	2786
740	7941	2775
741	7952	2764
742	7962	2754
743	7973	2743
744	7983	2732
745	7994	2721
746	8004	2711
747	8015	2700
748	8026	2689
749	8036	2678
750	8047	2668
751	8057	2657
752	8068	2646
753	8078	2635
754	8089	2625
755	8100	2614
756	8110	2603
757	8121	2592
758	8132	2582
759	8143	2571
760	8153	2560
761	8164	2550
762	8175	2539
763	8186	2528
764	8196	2518
765	8207	2507
766	8217	2496
767	8227	2485
768	8238	2474
769	8249	2464
770	8260	2453
771	8270	2442
772	8281	2432
773	8292	2421
774	8303	2410
775	8314	2399
776	8325	2389
777	8335	2378
778	8346	2367
779	8357	2357
780	8368	2346
781	8379	2336
782	8390	2325
783	8401	2314
784	8412	2303
785	8422	2293
786	8433	2282
787	8444	2271
788	8455	2261
789	8466	2250
790	8477	2239
791	8488	2229
792	8499	2218
793	8510	2207
794	8520	2197
795	8531	2186
796	8542	2175
797	8553	2165
798	8564	2154
799	8575	2143
800	8585	2133
801	8596	2122
802	8607	2111
803	8618	2100
804	8628	2090
805	8639	2079
806	8650	2068
807	8660	2058
808	8671	2047
809	8681	2036
810	8692	2025
811	8703	2015
812	8714	2004
813	8724	1993
814	8735	1982
815	8746	1972
816	8756	1961
817	8766	1950
818	8777	1939
819	8787	1929
820	8798	1918
821	8809	1907
822	8819	1896
823	8830	1886
824	8841	1875
825	8852	1864
826	8863	1854
827	8874	1843
828	8885	1832
829	8895	1822
830	8906	1811
831	8916	1800
832	8927	1789
833	8938	1779
834	8949	1768
835	8959	1757
836	8970	1746
837	8980	1736
838	8990	1725
839	9001	1714
840	9011	1703
841	9022	1693
842	9032	1682
843	9042	1671
844	9053	1660
845	9063	1649
846	9074	1639
847	9085	1628
848	9095	1617
849	9106	1606
850	9116	1596
851	9126	1585
852	9137	1574
853	9147	1563
854	9158	1553
855	9169	1542
856	9179	1531
857	9190	1521
858	9200	1510
859	9211	1499
860	9221	1488
861	9231	1477
862	9242	1467
863	9253	1456
864	9263	1445
865	9274	1435
866	9285	1424
867	9295	1413
868	9305	1402
869	9316	1392
870	9327	1381
871	9337	1370
872	9348	1359
873	9359	1349
874	9369	1338
875	9380	1327
876	9390	1317
877	9401	1306
878	9412	1295
879	9422	1284
880	9433	1274
881	9443	1263
882	9454	1252
883	9464	1241
884	9474	1231
885	9485	1220
886	9496	1209
887	9506	1199
888	9517	1188
889	9527	1177
890	9538	1166
891	9548	1156
892	9558	1145
893	9569	1134
894	9580	1123
895	9590	1113
896	9600	1102
897	9611	1091
898	9621	1080
899	9631	1070
900	9642	1059
901	9653	1048
902	9664	1038
903	9674	1027
904	9685	1016
905	9695	1005
906	9706	995
907	9717	984
908	9728	973
909	9738	963
910	9749	952
911	9759	941
912	9770	930
913	9780	920
914	9790	909
915	9801	898
916	9812	888
917	9822	877
918	9833	866
919	9843	855
920	9853	845
921	9864	834
922	9875	823
923	9885	813
924	9896	802
925	9907	791
926	9917	780
927	9927	770
928	9938	759
929	9948	748
930	9959	738
931	9970	727
932	9980	716
933	9990	705
934	10001	695
935	10011	684
936	10022	673
937	10032	663
938	10043	652
939	10053	641
940	10064	631
941	10074	620
942	10085	609
943	10095	598
944	10106	588
945	10117	577
946	10127	566
947	10138	556
948	10148	545
949	10159	534
950	10170	524
951	10180	513
952	10190	502
953	10201	491
954	10211	481
955	10222	470
956	10232	459
957	10243	449
958	10253	438
959	10264	427
960	10274	416
961	10285	406
962	10295	395
963	10305	384
964	10316	374
965	10326	363
966	10336	352
967	10347	342
968	10357	331
969	10368	320
970	10379	309
971	10389	299
972	10400	288
973	10410	277
974	10421	267
975	10431	256
976	10441	245
977	10452	235
978	10462	224
979	10473	213
980	10484	203
981	10494	192
982	10505	181
983	10516	170
984	10526	160
985	10537	149
986	10547	138
987	10558	128
988	10568	117
989	10579	106
990	10589	96
991	10600	85
992	10611	74
993	10621	64
994	10632	53
995	10642	42
996	10652	32
997	10663	21
998	10674	10
999	10684	0
